id,names
1,GoodImg/Bmp/Sample001/img001-00001
2,GoodImg/Bmp/Sample001/img001-00002
3,GoodImg/Bmp/Sample001/img001-00003
4,GoodImg/Bmp/Sample001/img001-00004
5,GoodImg/Bmp/Sample001/img001-00005
6,GoodImg/Bmp/Sample001/img001-00006
7,GoodImg/Bmp/Sample001/img001-00007
8,GoodImg/Bmp/Sample001/img001-00008
9,GoodImg/Bmp/Sample001/img001-00009
10,GoodImg/Bmp/Sample001/img001-00010
11,GoodImg/Bmp/Sample001/img001-00011
12,GoodImg/Bmp/Sample001/img001-00012
13,GoodImg/Bmp/Sample001/img001-00013
14,GoodImg/Bmp/Sample001/img001-00014
15,GoodImg/Bmp/Sample001/img001-00015
16,GoodImg/Bmp/Sample001/img001-00016
17,GoodImg/Bmp/Sample001/img001-00017
18,GoodImg/Bmp/Sample001/img001-00018
19,GoodImg/Bmp/Sample001/img001-00019
20,GoodImg/Bmp/Sample001/img001-00020
21,GoodImg/Bmp/Sample001/img001-00021
22,GoodImg/Bmp/Sample001/img001-00022
23,GoodImg/Bmp/Sample001/img001-00023
24,GoodImg/Bmp/Sample001/img001-00024
25,GoodImg/Bmp/Sample001/img001-00025
26,GoodImg/Bmp/Sample001/img001-00026
27,GoodImg/Bmp/Sample001/img001-00027
28,GoodImg/Bmp/Sample001/img001-00028
29,GoodImg/Bmp/Sample001/img001-00029
30,GoodImg/Bmp/Sample001/img001-00030
31,GoodImg/Bmp/Sample001/img001-00031
32,GoodImg/Bmp/Sample001/img001-00032
33,GoodImg/Bmp/Sample001/img001-00033
34,GoodImg/Bmp/Sample001/img001-00034
35,GoodImg/Bmp/Sample001/img001-00035
36,GoodImg/Bmp/Sample001/img001-00036
37,GoodImg/Bmp/Sample001/img001-00037
38,GoodImg/Bmp/Sample001/img001-00038
39,GoodImg/Bmp/Sample001/img001-00039
40,GoodImg/Bmp/Sample001/img001-00040
41,GoodImg/Bmp/Sample001/img001-00041
42,GoodImg/Bmp/Sample001/img001-00042
43,GoodImg/Bmp/Sample001/img001-00043
44,GoodImg/Bmp/Sample001/img001-00044
45,GoodImg/Bmp/Sample001/img001-00045
46,GoodImg/Bmp/Sample001/img001-00046
47,GoodImg/Bmp/Sample001/img001-00047
48,GoodImg/Bmp/Sample001/img001-00048
49,GoodImg/Bmp/Sample001/img001-00049
50,GoodImg/Bmp/Sample001/img001-00050
51,GoodImg/Bmp/Sample001/img001-00051
52,GoodImg/Bmp/Sample001/img001-00052
53,GoodImg/Bmp/Sample001/img001-00053
54,GoodImg/Bmp/Sample001/img001-00054
55,GoodImg/Bmp/Sample001/img001-00055
56,GoodImg/Bmp/Sample001/img001-00056
57,GoodImg/Bmp/Sample001/img001-00057
58,GoodImg/Bmp/Sample001/img001-00058
59,GoodImg/Bmp/Sample001/img001-00059
60,GoodImg/Bmp/Sample001/img001-00060
61,GoodImg/Bmp/Sample001/img001-00061
62,GoodImg/Bmp/Sample001/img001-00062
63,GoodImg/Bmp/Sample001/img001-00063
64,GoodImg/Bmp/Sample001/img001-00064
65,GoodImg/Bmp/Sample001/img001-00065
66,GoodImg/Bmp/Sample001/img001-00066
67,GoodImg/Bmp/Sample001/img001-00067
68,GoodImg/Bmp/Sample001/img001-00068
69,GoodImg/Bmp/Sample001/img001-00069
70,GoodImg/Bmp/Sample001/img001-00070
71,GoodImg/Bmp/Sample001/img001-00071
72,GoodImg/Bmp/Sample001/img001-00072
73,GoodImg/Bmp/Sample001/img001-00073
74,GoodImg/Bmp/Sample001/img001-00074
75,GoodImg/Bmp/Sample001/img001-00075
76,GoodImg/Bmp/Sample001/img001-00076
77,GoodImg/Bmp/Sample001/img001-00077
78,GoodImg/Bmp/Sample001/img001-00078
79,GoodImg/Bmp/Sample001/img001-00079
80,GoodImg/Bmp/Sample001/img001-00080
81,GoodImg/Bmp/Sample001/img001-00081
82,GoodImg/Bmp/Sample001/img001-00082
83,GoodImg/Bmp/Sample001/img001-00083
84,GoodImg/Bmp/Sample001/img001-00084
85,GoodImg/Bmp/Sample001/img001-00085
86,GoodImg/Bmp/Sample001/img001-00086
87,GoodImg/Bmp/Sample001/img001-00087
88,GoodImg/Bmp/Sample001/img001-00088
89,GoodImg/Bmp/Sample001/img001-00089
90,GoodImg/Bmp/Sample001/img001-00090
91,GoodImg/Bmp/Sample001/img001-00091
92,GoodImg/Bmp/Sample001/img001-00092
93,GoodImg/Bmp/Sample001/img001-00093
94,GoodImg/Bmp/Sample001/img001-00094
95,GoodImg/Bmp/Sample001/img001-00095
96,GoodImg/Bmp/Sample001/img001-00096
97,GoodImg/Bmp/Sample001/img001-00097
98,GoodImg/Bmp/Sample001/img001-00098
99,GoodImg/Bmp/Sample001/img001-00099
100,GoodImg/Bmp/Sample001/img001-00100
101,GoodImg/Bmp/Sample001/img001-00101
102,GoodImg/Bmp/Sample001/img001-00102
103,GoodImg/Bmp/Sample001/img001-00103
104,GoodImg/Bmp/Sample001/img001-00104
105,GoodImg/Bmp/Sample001/img001-00105
106,GoodImg/Bmp/Sample002/img002-00001
107,GoodImg/Bmp/Sample002/img002-00002
108,GoodImg/Bmp/Sample002/img002-00003
109,GoodImg/Bmp/Sample002/img002-00004
110,GoodImg/Bmp/Sample002/img002-00005
111,GoodImg/Bmp/Sample002/img002-00006
112,GoodImg/Bmp/Sample002/img002-00007
113,GoodImg/Bmp/Sample002/img002-00008
114,GoodImg/Bmp/Sample002/img002-00009
115,GoodImg/Bmp/Sample002/img002-00010
116,GoodImg/Bmp/Sample002/img002-00011
117,GoodImg/Bmp/Sample002/img002-00012
118,GoodImg/Bmp/Sample002/img002-00013
119,GoodImg/Bmp/Sample002/img002-00014
120,GoodImg/Bmp/Sample002/img002-00015
121,GoodImg/Bmp/Sample002/img002-00016
122,GoodImg/Bmp/Sample002/img002-00017
123,GoodImg/Bmp/Sample002/img002-00018
124,GoodImg/Bmp/Sample002/img002-00019
125,GoodImg/Bmp/Sample002/img002-00020
126,GoodImg/Bmp/Sample002/img002-00021
127,GoodImg/Bmp/Sample002/img002-00022
128,GoodImg/Bmp/Sample002/img002-00023
129,GoodImg/Bmp/Sample002/img002-00024
130,GoodImg/Bmp/Sample002/img002-00025
131,GoodImg/Bmp/Sample002/img002-00026
132,GoodImg/Bmp/Sample002/img002-00027
133,GoodImg/Bmp/Sample002/img002-00028
134,GoodImg/Bmp/Sample002/img002-00029
135,GoodImg/Bmp/Sample002/img002-00030
136,GoodImg/Bmp/Sample002/img002-00031
137,GoodImg/Bmp/Sample002/img002-00032
138,GoodImg/Bmp/Sample002/img002-00033
139,GoodImg/Bmp/Sample002/img002-00034
140,GoodImg/Bmp/Sample002/img002-00035
141,GoodImg/Bmp/Sample002/img002-00036
142,GoodImg/Bmp/Sample002/img002-00037
143,GoodImg/Bmp/Sample002/img002-00038
144,GoodImg/Bmp/Sample002/img002-00039
145,GoodImg/Bmp/Sample002/img002-00040
146,GoodImg/Bmp/Sample002/img002-00041
147,GoodImg/Bmp/Sample002/img002-00042
148,GoodImg/Bmp/Sample002/img002-00043
149,GoodImg/Bmp/Sample002/img002-00044
150,GoodImg/Bmp/Sample002/img002-00045
151,GoodImg/Bmp/Sample002/img002-00046
152,GoodImg/Bmp/Sample002/img002-00047
153,GoodImg/Bmp/Sample002/img002-00048
154,GoodImg/Bmp/Sample002/img002-00049
155,GoodImg/Bmp/Sample002/img002-00050
156,GoodImg/Bmp/Sample002/img002-00051
157,GoodImg/Bmp/Sample002/img002-00052
158,GoodImg/Bmp/Sample002/img002-00053
159,GoodImg/Bmp/Sample002/img002-00054
160,GoodImg/Bmp/Sample002/img002-00055
161,GoodImg/Bmp/Sample002/img002-00056
162,GoodImg/Bmp/Sample002/img002-00057
163,GoodImg/Bmp/Sample002/img002-00058
