,names
0,GoodImg/Bmp/Sample001/img001-00001
1,GoodImg/Bmp/Sample001/img001-00002
2,GoodImg/Bmp/Sample001/img001-00003
3,GoodImg/Bmp/Sample001/img001-00004
4,GoodImg/Bmp/Sample001/img001-00005
5,GoodImg/Bmp/Sample001/img001-00006
6,GoodImg/Bmp/Sample001/img001-00007
7,GoodImg/Bmp/Sample001/img001-00008
8,GoodImg/Bmp/Sample001/img001-00009
9,GoodImg/Bmp/Sample001/img001-00010
10,GoodImg/Bmp/Sample001/img001-00011
11,GoodImg/Bmp/Sample001/img001-00012
12,GoodImg/Bmp/Sample001/img001-00013
13,GoodImg/Bmp/Sample001/img001-00014
14,GoodImg/Bmp/Sample001/img001-00015
15,GoodImg/Bmp/Sample001/img001-00016
16,GoodImg/Bmp/Sample001/img001-00017
17,GoodImg/Bmp/Sample001/img001-00018
18,GoodImg/Bmp/Sample001/img001-00019
19,GoodImg/Bmp/Sample001/img001-00020
20,GoodImg/Bmp/Sample001/img001-00021
21,GoodImg/Bmp/Sample001/img001-00022
22,GoodImg/Bmp/Sample001/img001-00023
23,GoodImg/Bmp/Sample001/img001-00024
24,GoodImg/Bmp/Sample001/img001-00025
25,GoodImg/Bmp/Sample001/img001-00026
26,GoodImg/Bmp/Sample001/img001-00027
27,GoodImg/Bmp/Sample001/img001-00028
28,GoodImg/Bmp/Sample001/img001-00029
29,GoodImg/Bmp/Sample001/img001-00030
30,GoodImg/Bmp/Sample001/img001-00031
31,GoodImg/Bmp/Sample001/img001-00032
32,GoodImg/Bmp/Sample001/img001-00033
33,GoodImg/Bmp/Sample001/img001-00034
34,GoodImg/Bmp/Sample001/img001-00035
35,GoodImg/Bmp/Sample001/img001-00036
36,GoodImg/Bmp/Sample001/img001-00037
37,GoodImg/Bmp/Sample001/img001-00038
38,GoodImg/Bmp/Sample001/img001-00039
39,GoodImg/Bmp/Sample001/img001-00040
40,GoodImg/Bmp/Sample001/img001-00041
41,GoodImg/Bmp/Sample001/img001-00042
42,GoodImg/Bmp/Sample001/img001-00043
43,GoodImg/Bmp/Sample001/img001-00044
44,GoodImg/Bmp/Sample001/img001-00045
45,GoodImg/Bmp/Sample001/img001-00046
46,GoodImg/Bmp/Sample001/img001-00047
47,GoodImg/Bmp/Sample001/img001-00048
48,GoodImg/Bmp/Sample001/img001-00049
49,GoodImg/Bmp/Sample001/img001-00050
50,GoodImg/Bmp/Sample001/img001-00051
51,GoodImg/Bmp/Sample001/img001-00052
52,GoodImg/Bmp/Sample001/img001-00053
53,GoodImg/Bmp/Sample001/img001-00054
54,GoodImg/Bmp/Sample001/img001-00055
55,GoodImg/Bmp/Sample001/img001-00056
56,GoodImg/Bmp/Sample001/img001-00057
57,GoodImg/Bmp/Sample001/img001-00058
58,GoodImg/Bmp/Sample001/img001-00059
59,GoodImg/Bmp/Sample001/img001-00060
60,GoodImg/Bmp/Sample001/img001-00061
61,GoodImg/Bmp/Sample001/img001-00062
62,GoodImg/Bmp/Sample001/img001-00063
63,GoodImg/Bmp/Sample001/img001-00064
64,GoodImg/Bmp/Sample001/img001-00065
65,GoodImg/Bmp/Sample001/img001-00066
66,GoodImg/Bmp/Sample001/img001-00067
67,GoodImg/Bmp/Sample001/img001-00068
68,GoodImg/Bmp/Sample001/img001-00069
69,GoodImg/Bmp/Sample001/img001-00070
70,GoodImg/Bmp/Sample001/img001-00071
